"","si.fsl.fcs","si.fsl.unsustainable_food","si.fsl.main_income","si.fsl.food_exp","si.fsl.individual_worked","JIAF.CLASSIFICATION"
"1",0,0,0,0,0,1
"2",1,0,0,0,0,2
"3",2,0,0,0,0,3
"4",0,2,0,0,0,2
"5",1,2,0,0,0,3
"6",2,2,0,0,0,4
"7",0,0,2,0,0,2
"8",1,0,2,0,0,3
"9",2,0,2,0,0,4
"10",0,2,2,0,0,2
"11",1,2,2,0,0,3
"12",2,2,2,0,0,4
"13",0,0,1,0,0,1
"14",1,0,1,0,0,2
"15",2,0,1,0,0,3
"16",0,2,1,0,0,2
"17",1,2,1,0,0,3
"18",2,2,1,0,0,4
"19",0,0,0,1,0,1
"20",1,0,0,1,0,2
"21",2,0,0,1,0,3
"22",0,2,0,1,0,2
"23",1,2,0,1,0,3
"24",2,2,0,1,0,4
"25",0,0,2,1,0,2
"26",1,0,2,1,0,3
"27",2,0,2,1,0,4
"28",0,2,2,1,0,2
"29",1,2,2,1,0,3
"30",2,2,2,1,0,4
"31",0,0,1,1,0,1
"32",1,0,1,1,0,2
"33",2,0,1,1,0,3
"34",0,2,1,1,0,2
"35",1,2,1,1,0,3
"36",2,2,1,1,0,4
"37",0,0,0,2,0,2
"38",1,0,0,2,0,3
"39",2,0,0,2,0,4
"40",0,2,0,2,0,3
"41",1,2,0,2,0,3
"42",2,2,0,2,0,4
"43",0,0,2,2,0,3
"44",1,0,2,2,0,3
"45",2,0,2,2,0,4
"46",0,2,2,2,0,3
"47",1,2,2,2,0,3
"48",2,2,2,2,0,4
"49",0,0,1,2,0,2
"50",1,0,1,2,0,3
"51",2,0,1,2,0,4
"52",0,2,1,2,0,3
"53",1,2,1,2,0,3
"54",2,2,1,2,0,4
"55",0,0,0,0,1,1
"56",1,0,0,0,1,3
"57",2,0,0,0,1,4
"58",0,2,0,0,1,2
"59",1,2,0,0,1,3
"60",2,2,0,0,1,4
"61",0,0,2,0,1,3
"62",1,0,2,0,1,3
"63",2,0,2,0,1,4
"64",0,2,2,0,1,3
"65",1,2,2,0,1,4
"66",2,2,2,0,1,4
"67",0,0,1,0,1,1
"68",1,0,1,0,1,3
"69",2,0,1,0,1,4
"70",0,2,1,0,1,2
"71",1,2,1,0,1,4
"72",2,2,1,0,1,4
"73",0,0,0,1,1,1
"74",1,0,0,1,1,3
"75",2,0,0,1,1,4
"76",0,2,0,1,1,2
"77",1,2,0,1,1,4
"78",2,2,0,1,1,4
"79",0,0,2,1,1,2
"80",1,0,2,1,1,4
"81",2,0,2,1,1,4
"82",0,2,2,1,1,3
"83",1,2,2,1,1,4
"84",2,2,2,1,1,4
"85",0,0,1,1,1,2
"86",1,0,1,1,1,3
"87",2,0,1,1,1,4
"88",0,2,1,1,1,3
"89",1,2,1,1,1,4
"90",2,2,1,1,1,4
"91",0,0,0,2,1,2
"92",1,0,0,2,1,4
"93",2,0,0,2,1,4
"94",0,2,0,2,1,2
"95",1,2,0,2,1,4
"96",2,2,0,2,1,4
"97",0,0,2,2,1,3
"98",1,0,2,2,1,4
"99",2,0,2,2,1,4
"100",0,2,2,2,1,3
"101",1,2,2,2,1,4
"102",2,2,2,2,1,4
"103",0,0,1,2,1,2
"104",1,0,1,2,1,4
"105",2,0,1,2,1,4
"106",0,2,1,2,1,2
"107",1,2,1,2,1,4
"108",2,2,1,2,1,4
"109",0,0,0,0,2,2
"110",1,0,0,0,2,4
"111",2,0,0,0,2,4
"112",0,2,0,0,2,3
"113",1,2,0,0,2,4
"114",2,2,0,0,2,4
"115",0,0,2,0,2,2
"116",1,0,2,0,2,4
"117",2,0,2,0,2,4
"118",0,2,2,0,2,3
"119",1,2,2,0,2,4
"120",2,2,2,0,2,4
"121",0,0,1,0,2,2
"122",1,0,1,0,2,4
"123",2,0,1,0,2,4
"124",0,2,1,0,2,3
"125",1,2,1,0,2,4
"126",2,2,1,0,2,4
"127",0,0,0,1,2,3
"128",1,0,0,1,2,4
"129",2,0,0,1,2,4
"130",0,2,0,1,2,3
"131",1,2,0,1,2,4
"132",2,2,0,1,2,4
"133",0,0,2,1,2,3
"134",1,0,2,1,2,4
"135",2,0,2,1,2,4
"136",0,2,2,1,2,4
"137",1,2,2,1,2,4
"138",2,2,2,1,2,4
"139",0,0,1,1,2,3
"140",1,0,1,1,2,4
"141",2,0,1,1,2,4
"142",0,2,1,1,2,3
"143",1,2,1,1,2,4
"144",2,2,1,1,2,4
"145",0,0,0,2,2,3
"146",1,0,0,2,2,4
"147",2,0,0,2,2,4
"148",0,2,0,2,2,4
"149",1,2,0,2,2,4
"150",2,2,0,2,2,4
"151",0,0,2,2,2,4
"152",1,0,2,2,2,4
"153",2,0,2,2,2,4
"154",0,2,2,2,2,4
"155",1,2,2,2,2,4
"156",2,2,2,2,2,4
"157",0,0,1,2,2,3
"158",1,0,1,2,2,4
"159",2,0,1,2,2,4
"160",0,2,1,2,2,3
"161",1,2,1,2,2,4
"162",2,2,1,2,2,4
