"","si.wash.defec","si.wash.drnk_dom_water","si.wash.garbage_disp","si.wash.improved_water","JIAF CLASSIFICATION"
"1",1,0,0,0,1
"2",0,0,0,0,1
"3",2,0,0,0,2
"4",1,1,0,0,2
"5",0,1,0,0,2
"6",2,1,0,0,2
"7",1,2,0,0,4
"8",0,2,0,0,4
"9",2,2,0,0,4
"10",1,0,2,0,1
"11",0,0,2,0,1
"12",2,0,2,0,2
"13",1,1,2,0,2
"14",0,1,2,0,2
"15",2,1,2,0,2
"16",1,2,2,0,4
"17",0,2,2,0,4
"18",2,2,2,0,4
"19",1,0,0,2,4
"20",0,0,0,2,4
"21",2,0,0,2,4
"22",1,1,0,2,4
"23",0,1,0,2,4
"24",2,1,0,2,4
"25",1,2,0,2,4
"26",0,2,0,2,4
"27",2,2,0,2,4
"28",1,0,2,2,4
"29",0,0,2,2,4
"30",2,0,2,2,4
"31",1,1,2,2,4
"32",0,1,2,2,4
"33",2,1,2,2,4
"34",1,2,2,2,4
"35",0,2,2,2,4
"36",2,2,2,2,4
