"","si.wash.improved_water_access","si.wash.defecation","si.wash.enough_water","si.wash.soap","si.wash.visible_feces"
"1",0,0,0,0,0
"2",1,0,0,0,0
"3",NA,0,0,0,0
"4",0,1,0,0,0
"5",1,1,0,0,0
"6",NA,1,0,0,0
"7",0,2,0,0,0
"8",1,2,0,0,0
"9",NA,2,0,0,0
"10",0,0,2,0,0
"11",1,0,2,0,0
"12",NA,0,2,0,0
"13",0,1,2,0,0
"14",1,1,2,0,0
"15",NA,1,2,0,0
"16",0,2,2,0,0
"17",1,2,2,0,0
"18",NA,2,2,0,0
"19",0,0,0,2,0
"20",1,0,0,2,0
"21",NA,0,0,2,0
"22",0,1,0,2,0
"23",1,1,0,2,0
"24",NA,1,0,2,0
"25",0,2,0,2,0
"26",1,2,0,2,0
"27",NA,2,0,2,0
"28",0,0,2,2,0
"29",1,0,2,2,0
"30",NA,0,2,2,0
"31",0,1,2,2,0
"32",1,1,2,2,0
"33",NA,1,2,2,0
"34",0,2,2,2,0
"35",1,2,2,2,0
"36",NA,2,2,2,0
"37",0,0,0,0,2
"38",1,0,0,0,2
"39",NA,0,0,0,2
"40",0,1,0,0,2
"41",1,1,0,0,2
"42",NA,1,0,0,2
"43",0,2,0,0,2
"44",1,2,0,0,2
"45",NA,2,0,0,2
"46",0,0,2,0,2
"47",1,0,2,0,2
"48",NA,0,2,0,2
"49",0,1,2,0,2
"50",1,1,2,0,2
"51",NA,1,2,0,2
"52",0,2,2,0,2
"53",1,2,2,0,2
"54",NA,2,2,0,2
"55",0,0,0,2,2
"56",1,0,0,2,2
"57",NA,0,0,2,2
"58",0,1,0,2,2
"59",1,1,0,2,2
"60",NA,1,0,2,2
"61",0,2,0,2,2
"62",1,2,0,2,2
"63",NA,2,0,2,2
"64",0,0,2,2,2
"65",1,0,2,2,2
"66",NA,0,2,2,2
"67",0,1,2,2,2
"68",1,1,2,2,2
"69",NA,1,2,2,2
"70",0,2,2,2,2
"71",1,2,2,2,2
"72",NA,2,2,2,2
